Amostra,Replica,AMB,AMBDRO,ELE,ELEDRO
QPEU01108892.1.1 – 1,QPEU01108892.1.1,"2,2263","4,0731","1,7383","3,0391"
QPEU01108892.1.1 – 2,QPEU01108892.1.1,"1,0607","4,2461","1,4838","3,6243"
QPEU01108892.1.1 – 3,QPEU01108892.1.1,"2,9721","4,7669","1,3301","1,9272"
QPEU01227074.1.1 – 1,QPEU01227074.1.1,"0,3593","1,0455","0,9289","1,9554"
QPEU01227074.1.1 – 2,QPEU01227074.1.1,"-0,5639","1,5059","1,0043","1,3791"
QPEU01227074.1.1 – 3,QPEU01227074.1.1,"0,3413","1,3429","0,9699","1,5487"
QPEU01156095.1.4  - 1,QPEU01156095.1.4,"1,0922","1,6313","2,4556","1,2439"
QPEU01156095.1.4  - 2,QPEU01156095.1.4,"2,1764","4,1343","2,0865","1,7764"
QPEU01156095.1.4  - 3,QPEU01156095.1.4,"2,3691","3,5253","-0,4966","2,7815"
QPEU01166959.1.4 – 1,QPEU01166959.1.4,"-0,2206","0,0433","1,2875","0,5106"
QPEU01166959.1.4 – 2,QPEU01166959.1.4,"0,8716","-0,7979","1,0961","-1,1296"
QPEU01166959.1.4 – 3,QPEU01166959.1.4,"0,0331","-1,1788","1,5514","0,9270"
QPEU01185219.1.4 – 1,QPEU01185219.1.4,"2,2693","1,8241","0,9289","2,4298"
QPEU01185219.1.4 – 2,QPEU01185219.1.4,"1,3047","2,4297","0,6875","2,1425"
QPEU01185219.1.4 – 3,QPEU01185219.1.4,"0,8109","1,4255","1,2482","2,0848"
QPEU01299636.1.1 – 1,QPEU01299636.1.1,"-0,2206","0,0433","1,0586","0,6901"
QPEU01299636.1.1 – 2,QPEU01299636.1.1,"0,2498","-0,7979","0,9062","-0,3458"
QPEU01299636.1.1 – 3,QPEU01299636.1.1,"0,3413","-0,7579","1,9124","0,0336"
QPEU01327795.1.2 – 1,QPEU01327795.1.2,"1,0922","0,4069","-1,0857","2,3251"
QPEU01327795.1.2 – 2,QPEU01327795.1.2,"-0,5639","1,6429","-1,2381","0,6884"
QPEU01327795.1.2 – 3,QPEU01327795.1.2,"-0,9002","0,4217","-0,4966","0,2264"
QPEU01333790.1.1 – 1,QPEU01333790.1.1,"1,2720","0,6970","-0,2700","1,2439"
QPEU01333790.1.1 – 2,QPEU01333790.1.1,"0,2498","1,9900","-1,7755","1,4678"
QPEU01333790.1.1 – 3,QPEU01333790.1.1,"0,1954","1,3429","0,7493","0,6860"
QPEU01330191.1.2 – 1,QPEU01330191.1.2,"1,5057","1,6313","3,0619","1,8835"
QPEU01330191.1.2 – 2,QPEU01330191.1.2,"1,3047","2,2695","2,5433","1,4678"
QPEU01330191.1.2 – 3,QPEU01330191.1.2,"1,8408","1,8415","2,1566","1,0340"
QPEU01076207.1.1 – 1,QPEU01076207.1.1,"2,0403","1,5608","3,4874","2,2697"
QPEU01076207.1.1 – 2,QPEU01076207.1.1,"1,3776","0,1908","1,7891","0,6884"
QPEU01076207.1.1 – 3,QPEU01076207.1.1,"0,1954","0,7126","0,7493","0,0336"
QPEU01334589.1.1 – 1,QPEU01334589.1.1,"2,2693","1,1452","3,2365","2,4795"
QPEU01334589.1.1 – 2,QPEU01334589.1.1,"1,3047","0,9932","1,4838","1,3791"
QPEU01334589.1.1 – 3,QPEU01334589.1.1,"0,4738","1,0619","1,6181","0,2264"
QPEU01336136.1.1 – 1,QPEU01336136.1.1,"3,1348","2,7633","3,3674","3,1352"
QPEU01336136.1.1 – 2,QPEU01336136.1.1,"2,6290","2,3112","3,0360","2,6768"
QPEU01336136.1.1 – 3,QPEU01336136.1.1,"2,6184","1,1617","3,0125","1,4746"
QPEU01367515.1.1 – 1,QPEU01367515.1.1,"2,1820","0,9385","3,2636","2,3784"
QPEU01367515.1.1 – 2,QPEU01367515.1.1,"1,4471","-0,4805","1,5503","1,6304"
QPEU01367515.1.1 – 3,QPEU01367515.1.1,"0,0331","1,0619","0,4887","0,2264"
QPEU01383655.1.1 – 1,QPEU01383655.1.1,"5,8232","5,6624","6,4920","6,4069"
QPEU01383655.1.1 – 2,QPEU01383655.1.1,"5,3856","5,0986","6,2498","5,7565"
QPEU01383655.1.1 – 3,QPEU01383655.1.1,"5,2642","5,2479","6,1006","5,8194"
QPEU01207495.1.2 – 1,QPEU01207495.1.2,"3,0136","1,5608","3,3674","3,0056"
QPEU01207495.1.2 – 2,QPEU01207495.1.2,"2,4030","1,4321","1,6138","2,3434"
QPEU01207495.1.2 – 3,QPEU01207495.1.2,"1,5718","0,5745","2,7988","2,5844"
QPEU01214349.1.1 – 1,QPEU01214349.1.1,"3,4657","1,0455","3,9884","3,1352"
QPEU01214349.1.1 – 2,QPEU01214349.1.1,"2,8243","2,1365","2,4419","2,8185"
QPEU01214349.1.1 – 3,QPEU01214349.1.1,"1,4484","0,2508","3,2834","2,4748"
QPEU01228340.1.1 – 1,QPEU01228340.1.1,"4,8162","4,8985","3,5103","5,6144"
QPEU01228340.1.1 – 2,QPEU01228340.1.1,"4,1366","4,9807","2,2149","4,7730"
QPEU01228340.1.1 – 3,QPEU01228340.1.1,"3,6270","5,0984","3,6614","3,1095"
QPEU01301279.1.2 – 1,QPEU01301279.1.2,"5,1161","5,1887","4,2415","5,9144"
QPEU01301279.1.2 – 2,QPEU01301279.1.2,"4,1366","5,1339","2,2149","4,5675"
QPEU01301279.1.2 – 3,QPEU01301279.1.2,"3,9220","5,3988","4,1865","3,9951"
QPEU01393715.1.1 – 1,QPEU01393715.1.1,"3,6720","1,3261","3,8872","3,3902"
QPEU01393715.1.1 – 2,QPEU01393715.1.1,"3,0862","2,4297","2,2946","2,8185"
QPEU01393715.1.1 – 3,QPEU01393715.1.1,"2,1489","1,5779","3,5631","2,3143"
QPEU01131901.1.2 – 1,QPEU01131901.1.2,"3,4841","1,8830","3,8872","3,2541"
QPEU01131901.1.2 – 2,QPEU01131901.1.2,"2,8502","2,2695","2,4065","2,9163"
QPEU01131901.1.2 – 3,QPEU01131901.1.2,"2,1880","1,5779","3,2416","3,1811"
QPEU01168127.1.2 – 1,QPEU01168127.1.2,"5,0864","4,9127","3,9046","5,6365"
QPEU01168127.1.2 – 2,QPEU01168127.1.2,"4,3691","5,0745","2,2149","4,6739"
QPEU01168127.1.2 – 3,QPEU01168127.1.2,"3,3623","5,2479","3,9082","3,7347"
QPEU01194920.1.2 – 1,QPEU01194920.1.2,"3,0633","2,0467","3,7972","2,7051"
QPEU01194920.1.2 – 2,QPEU01194920.1.2,"3,0193","2,3112","2,5103","2,9780"
QPEU01194920.1.2 – 3,QPEU01194920.1.2,"1,6855","1,1617","3,1543","2,3561"
QPEU01206702.1.4 – 1,QPEU01206702.1.4,"2,9881","1,3261","3,7785","2,6190"
QPEU01206702.1.4 – 2,QPEU01206702.1.4,"2,7160","2,0405","1,9940","2,2958"
QPEU01206702.1.4 – 3,QPEU01206702.1.4,"1,7908","0,7126","2,7097","1,9272"
QPEU01317616.1.1 – 1,QPEU01317616.1.1,"3,3702","1,3261","3,8157","3,1959"
QPEU01317616.1.1 – 2,QPEU01317616.1.1,"2,9493","1,9900","1,4838","2,6768"
QPEU01317616.1.1 – 3,QPEU01317616.1.1,"1,2409","1,0619","3,0613","2,0342"
QPEU01340390.1.1 – 1,QPEU01340390.1.1,"2,8813","1,0455","3,3922","2,0240"
QPEU01340390.1.1 – 2,QPEU01340390.1.1,"2,0922","1,9900","1,5503","2,1425"
QPEU01340390.1.1 – 3,QPEU01340390.1.1,"1,5718","-0,4325","2,3654","2,3143"
QPEU01376977.1.1 – 1,QPEU01376977.1.1,"3,3702","1,6313","3,5982","2,6190"
QPEU01376977.1.1 – 2,QPEU01376977.1.1,"2,7160","2,0405","2,3329","2,7494"
QPEU01376977.1.1 – 3,QPEU01376977.1.1,"1,6855","0,5745","3,2626","1,8706"
QPEU01168703.1.2 – 1,QPEU01168703.1.2,"0,6469","-0,4440","0,7863","-0,5786"
QPEU01168703.1.2 – 2,QPEU01168703.1.2,"0,2498","-0,4805","1,0961","1,7052"
QPEU01168703.1.2 – 3,QPEU01168703.1.2,"1,2409","-0,7579","1,1612","0,2264"
QPEU01378872.1.1 – 1,QPEU01378872.1.1,"1,1849","0,2365","1,7383","1,1241"
QPEU01378872.1.1 – 2,QPEU01378872.1.1,"1,6373","0,5104","0,6875","1,4678"
QPEU01378872.1.1 – 3,QPEU01378872.1.1,"1,0839","0,4217","2,6148","0,9270"
QPEU01188895.1.4 – 1,QPEU01188895.1.4,"2,4295","2,5250","1,5744","2,1521"
QPEU01188895.1.4 – 2,QPEU01188895.1.4,"0,8716","4,1573","0,5642","3,7357"
QPEU01188895.1.4 – 3,QPEU01188895.1.4,"2,7807","3,5805","-0,0196","3,0849"
QPEU01276121.1.2 – 1,QPEU01276121.1.2,"2,6075","2,5616","0,7863","2,7462"
QPEU01276121.1.2 – 2,QPEU01276121.1.2,"2,1350","4,2780","1,0043","3,5245"
QPEU01276121.1.2 – 3,QPEU01276121.1.2,"2,8796","3,8735","1,4813","3,1095"
QPEU01285418.1.2 – 1,QPEU01285418.1.2,"1,9898","2,8837","1,6587","2,9361"
QPEU01285418.1.2 – 2,QPEU01285418.1.2,"2,4030","4,1343","0,9062","3,7710"
QPEU01285418.1.2 – 3,QPEU01285418.1.2,"3,2186","3,8437","2,0638","3,4167"
QPEU01296418.1.1 – 1,QPEU01296418.1.1,"5,4786","6,2291","4,6441","6,0147"
QPEU01296418.1.1 – 2,QPEU01296418.1.1,"5,6142","7,3380","3,7523","7,1376"
QPEU01296418.1.1 – 3,QPEU01296418.1.1,"5,9185","7,2678","4,8874","6,8905"
QPEU01316219.1.1 – 1,QPEU01316219.1.1,"6,4554","6,8661","5,0857","6,6621"
QPEU01316219.1.1 – 2,QPEU01316219.1.1,"6,2914","8,0704","4,8464","7,6464"
QPEU01316219.1.1 – 3,QPEU01316219.1.1,"6,8311","7,9856","5,3813","7,7017"
QPEU01324568.1.1 – 1,QPEU01324568.1.1,"6,4899","6,8661","5,0471","6,7278"
QPEU01324568.1.1 – 2,QPEU01324568.1.1,"6,1265","8,1204","4,7150","7,6321"
QPEU01324568.1.1 – 3,QPEU01324568.1.1,"6,8707","8,0151","5,6482","7,7574"
QPEU01330332.1.1 – 1,QPEU01330332.1.1,"2,0403","2,7944","1,1775","2,7462"
QPEU01330332.1.1 – 2,QPEU01330332.1.1,"1,8574","3,8527","0,8010","3,5450"
QPEU01330332.1.1 – 3,QPEU01330332.1.1,"2,3346","3,5624","0,8638","3,3562"
QPEU01350042.1.1 – 1,QPEU01350042.1.1,"2,4669","2,6992","1,3896","2,2697"
QPEU01350042.1.1 – 2,QPEU01350042.1.1,"1,9559","4,0505","1,2639","3,6049"
QPEU01350042.1.1 – 3,QPEU01350042.1.1,"2,8310","3,7344","0,8638","2,7815"
QPEU01383745.1.1 – 1,QPEU01383745.1.1,"5,6872","6,2091","4,4568","5,7772"
QPEU01383745.1.1 – 2,QPEU01383745.1.1,"5,5326","7,3113","3,8740","7,1376"
QPEU01383745.1.1 – 3,QPEU01383745.1.1,"5,9643","7,3228","4,7150","6,8852"
QPEU01137367.1.1 – 1,QPEU01137367.1.1,"1,0922","0,8228","-0,6209","1,9554"
QPEU01137367.1.1 – 2,QPEU01137367.1.1,"1,1467","1,2722","-0,8474","1,0747"
QPEU01137367.1.1 – 3,QPEU01137367.1.1,"0,3413","1,1617","-0,8113","0,5484"
 QPEU01300333.1.1 – 1, QPEU01300333.1.1,"2,6407","2,5972","1,2875","2,3784"
 QPEU01300333.1.1 – 2, QPEU01300333.1.1,"2,5042","4,2244","0,8010","3,5450"
 QPEU01300333.1.1 – 3, QPEU01300333.1.1,"2,9266","3,8437","1,6820","3,5123"
 QPEU01329171.1.2 – 1, QPEU01329171.1.2,"2,7047","3,1468","2,5468","3,5145"
 QPEU01329171.1.2 – 2, QPEU01329171.1.2,"2,5988","3,5898","2,9151","3,2270"
